Ticker,Company,Sector,Industry,MarketCap,Close,Volume,Date
NPN.JO,Naspers Ltd -N-,Consumer Cyclical,Internet Retail,715940495360,93119.0,1280476,2026-03-11 00:00:00+02:00
PRX.JO,Prosus N.V.,Consumer Cyclical,Internet Retail,1886613012480,87303.0,1112343,2026-03-11 00:00:00+02:00
MTN.JO,MTN Group Ltd,Communication Services,Telecom Services,333501825024,18460.0,3406274,2026-03-11 00:00:00+02:00
VOD.JO,Vodacom Group Ltd,Communication Services,Telecom Services,284345597952,14717.0,1642296,2026-03-11 00:00:00+02:00
SOL.JO,Sasol Limited,Basic Materials,Specialty Chemicals,102994206720,16155.0,4096474,2026-03-11 00:00:00+02:00
BHG.JO,BHP Group Limited,Basic Materials,Other Industrial Metals & Mining,3154007818240,60145.0,393130,2026-03-11 00:00:00+02:00
AGL.JO,Anglo American plc,Basic Materials,Other Industrial Metals & Mining,784125526016,73181.0,882541,2026-03-11 00:00:00+02:00
GLN.JO,Glencore plc,Basic Materials,Other Industrial Metals & Mining,1343710822400,11488.0,4435208,2026-03-11 00:00:00+02:00
IMP.JO,Impala Platinum Hlgs Ltd,Basic Materials,Other Precious Metals & Mining,243982516224,27200.0,2868692,2026-03-11 00:00:00+02:00
ANG.JO,AngloGold Ashanti plc,Basic Materials,Gold,892044640256,171150.0,746676,2026-03-11 00:00:00+02:00
HAR.JO,Harmony GM Co Ltd,Basic Materials,Gold,172578635776,27631.0,2944137,2026-03-11 00:00:00+02:00
KIO.JO,Kumba Iron Ore Ltd,Basic Materials,Steel,103125475328,32196.0,201311,2026-03-11 00:00:00+02:00
S32.JO,South32 Limited,Basic Materials,Other Industrial Metals & Mining,229550276608,5090.0,172304,2026-03-11 00:00:00+02:00
EXX.JO,Exxaro Resources Ltd,Energy,Thermal Coal,49152339968,20350.0,1136964,2026-03-11 00:00:00+02:00
SBK.JO,Standard Bank Group Ltd,Financial Services,Banks - Regional,471086891008,29095.0,1672180,2026-03-11 00:00:00+02:00
ABG.JO,Absa Group Limited,Financial Services,Banks - Regional,195312566272,23547.0,2126011,2026-03-11 00:00:00+02:00
NED.JO,Nedbank Group Ltd,Financial Services,Banks - Regional,126048763904,27086.0,1061513,2026-03-11 00:00:00+02:00
FSR.JO,Firstrand Ltd,Financial Services,Banks - Diversified,500244447232,8946.0,14634414,2026-03-11 00:00:00+02:00
CPI.JO,Capitec Bank Hldgs Ltd,Financial Services,Banks - Regional,491433590784,424360.0,232161,2026-03-11 00:00:00+02:00
SLM.JO,Sanlam Limited,Financial Services,Insurance - Life,197679939584,9469.0,2919373,2026-03-11 00:00:00+02:00
REM.JO,Remgro Ltd,Financial Services,Asset Management,98603974656,17734.0,646270,2026-03-11 00:00:00+02:00
DSY.JO,Discovery Ltd,Financial Services,Insurance - Life,168387969024,25160.0,1060851,2026-03-11 00:00:00+02:00
OMU.JO,Old Mutual Limited,Financial Services,Financial Conglomerates,63085490176,1501.0,17806768,2026-03-11 00:00:00+02:00
OUT.JO,OUTsurance Group Limited,Financial Services,Insurance - Diversified,111258419200,7200.0,3652084,2026-03-11 00:00:00+02:00
SHP.JO,Shoprite Holdings Ltd,Consumer Cyclical,Department Stores,141770768384,26222.0,1053839,2026-03-11 00:00:00+02:00
WHL.JO,Woolworths Holdings Ltd,Consumer Cyclical,Department Stores,46322831360,5196.0,3429867,2026-03-11 00:00:00+02:00
MRP.JO,Mr Price Group Ltd,Consumer Cyclical,Apparel Retail,44212764672,17155.0,1382525,2026-03-11 00:00:00+02:00
TFG.JO,The Foschini Group Limited,Consumer Cyclical,Department Stores,24450748416,7605.0,862114,2026-03-11 00:00:00+02:00
TRU.JO,Truworths Int Ltd,Consumer Cyclical,Apparel Retail,20716853248,5565.0,1966752,2026-03-11 00:00:00+02:00
PIK.JO,Pick n Pay Stores Ltd,Consumer Cyclical,Department Stores,13424601088,1833.0,2172147,2026-03-11 00:00:00+02:00
SPP.JO,The Spar Group Ltd,Consumer Defensive,Food Distribution,12406304768,6442.0,413486,2026-03-11 00:00:00+02:00
WBO.JO,Wilson Bayly Hlm-Ovc Ltd,Industrials,Engineering & Construction,8443445760,16251.0,132492,2026-03-11 00:00:00+02:00
GRT.JO,Growthpoint Prop Ltd,Real Estate,REIT - Diversified,56075317248,1660.0,9470397,2026-03-11 00:00:00+02:00
RDF.JO,Redefine Properties Ltd,Real Estate,REIT - Diversified,42661150720,614.0,28483474,2026-03-11 00:00:00+02:00
VKE.JO,Vukile Property Fund Ltd,Real Estate,REIT - Retail,31242708992,2282.0,1898753,2026-03-11 00:00:00+02:00
FFB.JO,Fortress Real Est Inv B,Real Estate,Real Estate Services,28019759104,2300.0,1113932,2026-03-11 00:00:00+02:00
RES.JO,Resilient REIT Limited,Real Estate,REIT - Retail,26820747264,8030.0,412022,2026-03-11 00:00:00+02:00
ATT.JO,Attacq Limited,Real Estate,REIT - Diversified,11917095936,1703.0,1099643,2026-03-11 00:00:00+02:00
