Year,Date,Ticker,Company,Sector,Industry,Close,MarketCap
2021,2021-12-31,FSR.JO,FirstRand Limited,Financial Services,Banks - Diversified,6064.82958984375,33913448624473.414
2022,2022-12-30,FSR.JO,FirstRand Limited,Financial Services,Banks - Diversified,6200.8759765625,34674195827372.223
2023,2023-12-29,FSR.JO,FirstRand Limited,Financial Services,Banks - Diversified,7342.26123046875,41056619207231.51
2024,2024-12-31,FSR.JO,FirstRand Limited,Financial Services,Banks - Diversified,7591.42236328125,42449883956335.53
2025,2025-12-31,FSR.JO,FirstRand Limited,Financial Services,Banks - Diversified,9075.0,50745786292575.0
2021,2021-12-31,NPN.JO,Naspers Limited,Consumer Cyclical,Internet Retail,49433.578125,37906348110019.31
2022,2022-12-30,NPN.JO,Naspers Limited,Consumer Cyclical,Internet Retail,56481.05078125,43310447144245.45
2023,2023-12-29,NPN.JO,Naspers Limited,Consumer Cyclical,Internet Retail,62555.23046875,47968211733629.67
2024,2024-12-31,NPN.JO,Naspers Limited,Consumer Cyclical,Internet Retail,83460.375,63998564298601.5
2025,2025-12-31,NPN.JO,Naspers Limited,Consumer Cyclical,Internet Retail,110451.0,84695347047564.0
2021,2021-12-31,PRX.JO,Prosus N.V.,Consumer Cyclical,Internet Retail,60090.5078125,129855092597571.17
2022,2022-12-30,PRX.JO,Prosus N.V.,Consumer Cyclical,Internet Retail,54035.37109375,116769992006348.16
2023,2023-12-29,PRX.JO,Prosus N.V.,Consumer Cyclical,Internet Retail,56038.83203125,121099454595788.31
2024,2024-12-31,PRX.JO,Prosus N.V.,Consumer Cyclical,Internet Retail,74904.875,161868818108259.25
2025,2025-12-31,PRX.JO,Prosus N.V.,Consumer Cyclical,Internet Retail,102352.0,221181829233632.0
